"Team" "attack_mean" "attack025" "attack_median" "attack975" "defense_mean" "defense025" "defense_median" "defense975"
"1" "Almería" 0.0165858213149637 -0.244286566742033 0.0119551742676162 0.290079802339684 0.26051824060293 -0.0263106029039093 0.255052864748509 0.587231576619813
"2" "Athletic Club" 0.0730127870420084 -0.169270605180289 0.0573021309138837 0.361234867854812 -0.0630958214979219 -0.377738870174609 -0.0583591006119026 0.235574909644361
"3" "Atlético Madrid" 0.0677999894499832 -0.175191200375674 0.0528078944221477 0.3537544743382 -0.197009911925552 -0.557511515163968 -0.186112535098245 0.106602423379422
"4" "Barcelona" 0.256231157601761 -0.0206138691594464 0.254407847075486 0.597562297249035 -0.45204378186969 -0.950411175196943 -0.440894497733379 -0.0407376012644091
"5" "Betis" 0.0325754369635508 -0.220443679241865 0.0240691922146876 0.308349217284454 -0.0609480770654051 -0.375518872610202 -0.0563188323421515 0.238036863167759
"6" "Cádiz" -0.148422898704636 -0.489538330963888 -0.128045801180544 0.101219426184788 0.158527178740986 -0.116762943075103 0.150455987164637 0.473645865249589
"7" "Celta Vigo" -0.0430518052046724 -0.329165407033157 -0.0326270461802478 0.217306693570674 0.149272613243877 -0.12697811363472 0.14118880738043 0.463946376847888
"8" "Elche" -0.183582141860642 -0.547241795768961 -0.164377672235203 0.0728908367798015 0.333231579139023 0.0239311589022351 0.331368924901283 0.666791334731617
"9" "Espanyol" 0.0109749295818937 -0.25095280730853 0.00768271922844454 0.282358172441315 0.141933425861275 -0.135906357456534 0.133873139538621 0.456831021788794
"10" "Getafe" -0.118630522831192 -0.441223161830857 -0.0984994312523587 0.13017680456045 0.0405139965699416 -0.249793898473092 0.0365224178765691 0.345821588600569
"11" "Girona" 0.0927870303215682 -0.143752451412081 0.0755216497498853 0.385352546665614 0.148442994442753 -0.129867935272458 0.140290547725734 0.46505347008389
"12" "Mallorca" -0.100875114194705 -0.413854461181169 -0.0816366887029717 0.149362528863061 -0.0943191957568051 -0.416195120408165 -0.0875291372671448 0.202499505699817
"13" "Osasuna" -0.120254407562244 -0.443307989522976 -0.100132469782701 0.128225908859767 -0.117014123984961 -0.445764114119436 -0.108955162833122 0.179687426353065
"14" "Rayo Vallecano" 0.0329593823201705 -0.219974793000773 0.0243647241021423 0.308885783982723 -0.041747158825693 -0.350689486947259 -0.0387154234866258 0.257719469844752
"15" "Real Madrid" 0.283553720580061 -0.0125882443537438 0.285722019841565 0.635425054516125 -0.191220434403122 -0.551907256105801 -0.180218622745452 0.113000017555095
"16" "Real Sociedad" 0.0843772017922299 -0.154753229611159 0.0675792918002393 0.375375772671437 -0.0811191100135777 -0.401831732163189 -0.0749700260522326 0.217560708916115
"17" "Sevilla" -0.0262526202176792 -0.304917164646064 -0.0198599968784447 0.237730797468235 0.0701399558318741 -0.213889766392248 0.0642331497652962 0.376857120461822
"18" "Valencia" -0.00748621284386794 -0.276145279882186 -0.00600619214674197 0.258923942789391 0.0160662255953376 -0.278491407324025 0.0140487781435179 0.318624978010872
"19" "Valladolid" -0.169333346094989 -0.52242799002823 -0.149695619382827 0.0828229243809683 0.0735950636200599 -0.210272876863605 0.0675328487667356 0.380789787451352
"20" "Villarreal" -0.0319555392953617 -0.311927325286464 -0.0242798071973401 0.230026519579383 -0.0941439372275334 -0.416130444985376 -0.0873215657727941 0.202566090191427
